g_uk_datazone,g_uk_easting,g_uk_northing
E01030247,655099.7,293664.4
E01030248,654861.8,294224.3
E01030249,654819.9,293444.1
E01030240,654696.2,294985.7
E01030246,654669,293945.8
E01030250,654662.2,293093.1
E01030258,654482.3,292328.5
E01030265,654237.8,293099.4
E01030256,654175.4,291594.9
E01030254,654170.7,292026.4
E01030277,654148.6,294740.3
E01030262,654118.9,294208.3
E01030261,654069.3,293704.5
E01030264,654061.5,293298.9
E01030242,654019.8,295558.8
E01030276,653930.4,290872.3
E01030279,653810.6,294918.3
E01030241,653796.1,297267.2
E01030257,653734.4,291705.1
E01030278,653582.4,294542.3
E01030272,653547.9,290231.4
E01030263,653532.1,293534.5
E01030255,653505.8,292333.4
E01030275,653443.3,291237.5
E01030251,653293.4,286477.6
E01030281,653287.4,295480.5
E01030274,653065.4,290801.5
E01030280,652976.7,294590.1
E01030291,652970.3,291770
E01026626,652909.5,306857.6
E01030273,652908.6,290236.3
E01026598,652890.4,307820
E01026622,652866.9,305766.3
E01030253,652850.8,288090.8
E01026639,652828.8,309131.2
E01026624,652828.3,307143.9
E01026641,652809.9,309677.9
E01030271,652789.3,293996.7
E01026611,652776.5,302735.5
E01030287,652762.8,291263.1
E01026631,652751.6,303835.8
E01026588,652710.6,300079.3
E01026610,652697.1,303581.4
E01026595,652696.1,308409.2
E01026623,652614.3,307455.1
E01026625,652594.7,307032.1
E01026632,652569.5,304687.3
E01026599,652558.6,308801.7
E01026630,652540.3,304241
E01030290,652530.1,292127.8
E01026640,652517.6,309525.7
E01030266,652490.9,294913.2
E01030289,652458.8,292416.2
E01026601,652445.4,305160.3
E01030270,652427.8,293192.4
E01026618,652397.4,303028.3
E01026594,652388.2,311817.1
E01030288,652365.9,291452.4
E01026592,652352,312410.2
E01026597,652337.3,307794.6
E01030239,652336.3,290182.7
E01026612,652302.3,302052.5
E01026600,652269.9,305447.1
E01026596,652229.9,308295.2
E01026633,652085,306387.4
E01026621,652073.4,303426.3
E01030252,652070,287035.1
E01030267,652033.9,293935.9
E01026604,651951.7,304106.3
E01030233,651932.2,291062.2
E01026617,651928.4,302934
E01026634,651846.9,307231.8
E01030238,651845.8,290455.9
E01026635,651804.4,307393.3
E01026602,651770.9,304785.5
E01026591,651735.2,313511.4
E01030235,651665.3,291753.4
E01026589,651655.4,313072.2
E01026619,651605.4,303212.1
E01026590,651598.1,312517.3
E01026603,651589.2,304284.9
E01030269,651588.8,293182.9
E01026620,651568.3,303691.8
E01030268,651563.6,293578.6
E01026593,651392.9,311900.8
E01030236,651350.9,289979.6
E01030259,651322,297865.5
E01030234,651270.1,291255.7
E01026586,651160.6,303899.7
E01026581,651142.3,305283.8
E01030237,651012.9,290548.5
E01026583,651001.5,304651.9
E01026628,650933.3,314959.7
E01026585,650801.1,303958.5
E01030282,650729.5,276280.2
E01026584,650625.1,304313.6
E01026582,650523.1,305165.4
E01026587,650500.4,303482
E01030284,650002.6,277269.2
E01026627,649998.9,315351.8
E01026607,649904.8,317230
E01030283,649812.6,277772
E01030260,649592.8,297396.8
E01026605,649005.3,317389.1
E01026606,648894.9,319335.6
E01026629,648810.2,315012.7
E01026615,648588,302872
E01026614,648296.1,304222.9
E01026616,647845.2,302904.2
E01030295,647616.1,283071.7
E01026613,647307.7,301148.6
E01030293,646362.8,289546.2
E01030153,646298.4,256712.8
E01026608,646253.9,313620.3
E01030152,645943.2,258985.6
E01026638,645546.2,318089.3
E01026637,645286.6,317844.8
