LSOA_CODE,School Rating,Crime per region,Crime per region/10,
E01013725,9.982,8,0.8,25.982
E01024614,9.672,16,1.6,17.672
E01013723,9.61,8,0.8,17.61
E01013726,9.61,8,0.8,17.61
E01013727,9.548,8,0.8,25.548
E01024615,9.486,16,1.6,17.486
E01013722,9.424,8,0.8,17.424
E01013728,9.424,8,0.8,25.424
E01024595,9.362,16,1.6,25.362
E01024616,9.3,16,1.6,13.3
E01005099,9.238,4,0.4,25.238
E01024597,9.238,16,1.6,13.238
E01005103,9.114,4,0.4,13.114
E01005101,9.052,4,0.4,13.052
E01005104,9.052,4,0.4,16.052
E01012343,8.99,7,0.7,16.99
E01014492,8.99,8,0.8,24.99
E01024609,8.99,16,1.6,24.99
E01024613,8.99,16,1.6,12.99
E01005135,8.866,4,0.4,16.866
E01013818,8.866,8,0.8,24.866
E01024610,8.866,16,1.6,12.866
E01005091,8.804,4,0.4,12.804
E01005098,8.804,4,0.4,16.804
E01014493,8.804,8,0.8,24.804
E01024581,8.804,16,1.6,12.804
E01005289,8.742,4,0.4,13.742
E01008100,8.742,5,0.5,16.742
E01013730,8.742,8,0.8,13.742
E01008013,8.68,5,0.5,13.68
E01008017,8.68,5,0.5,24.68
E01024596,8.68,16,1.6,24.68
E01024612,8.68,16,1.6,24.68
E01024619,8.68,16,1.6,11.68
E01003236,8.618,3,0.3,12.618
E01005291,8.618,4,0.4,12.618
E01005313,8.618,4,0.4,13.618
E01008097,8.618,5,0.5,16.618
E01014583,8.618,8,0.8,16.618
E01014647,8.618,8,0.8,12.618
E01005100,8.556,4,0.4,16.556
E01013682,8.556,8,0.8,16.556
E01014499,8.556,8,0.8,24.556
E01024587,8.556,16,1.6,24.556
E01024611,8.556,16,1.6,24.556
E01024620,8.556,16,1.6,12.556
E01005102,8.494,4,0.4,13.494
E01008012,8.494,5,0.5,15.494
E01012854,8.494,7,0.7,16.494
E01014496,8.494,8,0.8,24.494
E01024585,8.494,16,1.6,24.494
E01024594,8.494,16,1.6,24.494
E01024598,8.494,16,1.6,24.494
E01024621,8.494,16,1.6,12.494
E01005088,8.432,4,0.4,12.432
E01005089,8.432,4,0.4,12.432
E01005130,8.432,4,0.4,12.432
E01005318,8.432,4,0.4,13.432
E01007902,8.432,5,0.5,13.432
E01008018,8.432,5,0.5,13.432
E01008095,8.432,5,0.5,13.432
E01008098,8.432,5,0.5,15.432
E01011473,8.432,7,0.7,15.432
E01012851,8.432,7,0.7,16.432
E01013721,8.432,8,0.8,16.432
E01013858,8.432,8,0.8,16.432
E01014596,8.432,8,0.8,13.432
E01008016,8.37,5,0.5,15.37
E01011475,8.37,7,0.7,15.37
E01012856,8.37,7,0.7,15.37
E01012857,8.37,7,0.7,16.37
E01014497,8.37,8,0.8,12.37
E01005090,8.308,4,0.4,12.308
E01005314,8.308,4,0.4,13.308
E01008103,8.308,5,0.5,15.308
E01011372,8.308,7,0.7,15.308
E01012319,8.308,7,0.7,16.308
E01013731,8.308,8,0.8,16.308
E01013822,8.308,8,0.8,16.308
E01014638,8.308,8,0.8,16.308
E01014640,8.308,8,0.8,16.308
E01014643,8.308,8,0.8,24.308
E01024580,8.308,16,1.6,24.308
E01024586,8.308,16,1.6,11.308
E01003237,8.246,3,0.3,12.246
E01005203,8.246,4,0.4,15.246
E01011312,8.246,7,0.7,15.246
E01011368,8.246,7,0.7,15.246
E01012075,8.246,7,0.7,15.246
E01012076,8.246,7,0.7,16.246
E01014498,8.246,8,0.8,16.246
E01014726,8.246,8,0.8,17.246
E01016007,8.246,9,0.9,12.246
E01005086,8.184,4,0.4,12.184
E01005087,8.184,4,0.4,12.184
E01005290,8.184,4,0.4,13.184
E01007886,8.184,5,0.5,13.184
E01008101,8.184,5,0.5,15.184
E01011366,8.184,7,0.7,15.184
E01012304,8.184,7,0.7,15.184
E01012341,8.184,7,0.7,15.184
E01012876,8.184,7,0.7,16.184
E01014639,8.184,8,0.8,12.184
E01005202,8.122,4,0.4,12.122
E01005292,8.122,4,0.4,12.122
E01005315,8.122,4,0.4,13.122
E01008102,8.122,5,0.5,15.122
E01012088,8.122,7,0.7,15.122
E01012318,8.122,7,0.7,17.122
E01016004,8.122,9,0.9,17.122
E01016006,8.122,9,0.9,12.122
E01005136,8.06,4,0.4,12.06
E01005205,8.06,4,0.4,12.06
E01005316,8.06,4,0.4,15.06
E01011474,8.06,7,0.7,15.06
E01011677,8.06,7,0.7,15.06
E01012085,8.06,7,0.7,15.06
E01012305,8.06,7,0.7,28.06
E01026865,8.06,20,2,12.06
E01005085,7.998,4,0.4,11.998
E01005140,7.998,4,0.4,11.998
E01005141,7.998,4,0.4,11.998
E01005228,7.998,4,0.4,12.998
E01008014,7.998,5,0.5,12.998
E01008015,7.998,5,0.5,14.998
E01011375,7.998,7,0.7,14.998
E01011471,7.998,7,0.7,14.998
