Location/Agglomeration,Road_Pop_Lden>=55dB,Road_Pop_Lden>=60dB,Road_Pop_Lden>=65dB,Road_Pop_Lden>=70dB,Road_Pop_Lden>=75dB,Road_Pop_Lnight>=50dB,Road_Pop_Lnight>=55dB,Road_Pop_Lnight>=60dB,Road_Pop_Lnight>=65dB,Road_Pop_Lnight>=70dB,Railways_Pop_Lden>=55dB,Railways_Pop_Lden>=60dB,Railways_Pop_Lden>=65dB,Railways_Pop_Lden>=70dB,Railways_Pop_Lden>=75dB,Railways_Pop_Lnight>=50dB,Railways_Pop_Lnight>=55dB,Railways_Pop_Lnight>=60dB,Railways_Pop_Lnight>=65dB,Railways_Pop_Lnight>=70dB,Industry_Pop_Lden>=55dB,Industry_Pop_Lden>=60dB,Industry_Pop_Lden>=65dB,Industry_Pop_Lden>=70dB,Industry_Pop_Lden>=75dB,Industry_Pop_Lnight>=50dB,Industry_Pop_Lnight>=55dB,Industry_Pop_Lnight>=60dB,Industry_Pop_Lnight>=65dB,Industry_Pop_Lnight>=70dB,AgglomerationPopulation,day,night
Greater London Urban Area,2387200,1426100,1027200,597800,99200,1665400,1106500,649400,114500,900,525200,308500,158100,59800,15200,388700,214200,95100,29700,6400,23600,13000,7500,4600,3000,20500,11300,6700,4000,2700,9300000,8.894,9.916
High Wycombe Urban Area,45400,21500,12300,4600,200,32200,16500,6300,500,0,4100,2400,600,0,0,2900,1100,200,0,0,0,0,0,0,0,0,0,0,0,0,125000,9.976,7.157
Greater Manchester Urban Area,823200,371700,205900,93800,9800,557100,255700,113500,15800,1700,50100,24900,10100,1600,0,35100,16300,5200,300,0,10200,4600,2200,1100,500,8300,3500,1900,800,400,2405000,8.964,6.701
Hastings/Bexhill,20700,16200,11900,5500,0,16800,12500,6100,0,0,3000,1200,0,0,0,1900,400,0,0,0,400,200,100,0,0,300,100,100,0,0,130000,7.228,6.663
Wigan Urban Area,57900,23300,13400,6300,600,37700,16600,7500,900,0,6200,3400,1900,900,200,5000,2800,1500,700,100,1000,500,200,100,0,800,400,200,0,0,170000,7.949,6.265
Southampton Urban Area,131200,49400,25800,10300,500,87700,33500,13100,1100,200,9200,5300,2300,500,0,6900,3800,1500,200,0,400,200,100,0,0,300,100,100,0,0,325000,8.816,5.724
Bristol Urban Area,152500,69700,42000,20800,2200,100000,50200,24400,3000,300,9300,3900,1800,500,0,6900,2900,1200,200,0,400,300,200,100,100,400,300,200,100,100,610000,6.627,5.68
Burnley/Nelson,39700,16800,10200,4600,100,23700,12000,5400,300,0,700,0,0,0,0,200,0,0,0,0,1800,1100,700,300,200,1600,900,600,300,100,145000,6.72,5.288
Brighton/Worthing/Littlehampton,74400,47000,35500,15300,200,49600,36700,18000,300,0,13800,7600,2000,100,0,9800,4400,300,0,0,600,300,100,0,0,600,200,100,0,0,500000,5.452,5.112
Portsmouth Urban Area,132400,56100,31300,13300,800,83500,39300,16600,1600,100,8900,5700,2500,300,0,6900,3900,1100,0,0,300,100,0,0,0,200,100,0,0,0,465000,6.997,5.069
Slough Urban Area,77200,24300,10700,3900,400,48900,14500,5600,1000,0,13600,8300,5200,3300,1600,10700,6500,4200,2500,600,500,100,0,0,0,300,0,0,0,0,160000,8.809,4.97
Liverpool Urban Area,192900,86000,53100,24100,1500,113600,60000,27900,2800,0,15100,7500,2700,500,0,10700,4300,1300,100,0,4200,2500,1700,1100,700,3700,2200,1500,900,700,820000,6.083,4.831
West Yorkshire Urban Area,388000,185200,104100,44700,4600,258400,125300,53700,6700,1700,22100,9100,3700,1000,0,14000,5700,2300,300,0,10500,5300,3400,1600,900,8600,4600,3000,1300,700,1590000,6.756,4.796
Torbay,12800,8500,6100,3400,100,9000,6400,3700,100,0,1000,300,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110000,4.482,4.776
Ipswich Urban Area,26400,14200,10000,4600,100,15300,10300,5200,200,0,6800,4000,1700,400,0,5700,3200,1100,200,0,500,200,100,0,0,400,100,100,0,0,160000,5.148,4.615
Blackburn/Darwen,36800,16100,10200,3900,200,23200,11600,4700,300,0,3000,1300,100,0,0,1800,500,0,0,0,1400,500,300,100,100,1100,400,300,100,0,145000,6.44,4.603
Bedford/Kempston,12700,9000,6600,2800,100,9200,7000,3400,100,0,4800,2400,1300,600,200,3500,1800,1100,400,0,700,200,100,0,0,400,100,0,0,0,105000,4.971,4.598
West Midlands Urban Area,689300,309300,161000,59700,3500,468000,207400,76200,6000,400,52400,28500,12700,3200,300,40000,20400,7100,1600,0,12000,5800,2500,800,400,9900,4400,2000,600,300,2430000,7.382,4.453
Nottingham Urban Area,156000,67300,39900,19400,2200,95500,45900,21900,2800,0,13300,7100,2800,900,0,10000,4400,2100,300,0,1900,900,500,200,200,1400,800,500,200,200,710000,5.498,4.38
Sheffield Urban Area,140900,66200,39500,18000,1100,91300,45600,20500,1500,100,4800,2300,1100,400,0,3700,1700,900,100,0,2400,1000,700,300,100,1300,900,600,300,100,675000,5.688,4.313
Reading/Wokingham,117200,48900,25400,9100,200,77700,32200,11500,500,0,12800,6900,2600,800,300,9700,4700,1400,600,200,500,200,100,0,0,300,100,0,0,0,380000,7.464,4.297
Oxford,27800,17300,12400,4000,0,18200,13000,4600,0,0,3100,1500,600,300,0,2600,1200,400,100,0,0,0,0,0,0,0,0,0,0,0,155000,6.474,4.214
Doncaster Urban Area,38000,13400,7100,3300,600,22200,8700,3700,800,100,4400,2300,800,300,100,3300,1400,500,100,0,2200,1200,600,300,200,1900,1000,500,300,100,130000,5.978,4.042
Aldershot Urban Area,79400,34800,15800,5100,300,52400,22000,7100,900,100,8800,3400,900,100,0,5600,1500,300,0,0,300,0,0,0,0,200,0,0,0,0,250000,8.074,4.033
Preston Urban Area,103100,33500,14700,5900,300,60400,20700,7600,800,100,11600,6900,3900,2300,1300,9500,5700,3200,1900,900,1900,1200,600,200,100,1600,1000,500,200,100,275000,7.065,3.924
Northampton Urban Area,50000,22700,13200,5100,0,29200,14400,5800,100,0,1500,600,200,100,0,1000,400,100,0,0,600,200,200,100,0,500,200,100,0,0,210000,6.27,3.922
