Easting,Northing
300400,202800
319100,685400
260600,296000
314870,186950
294612,378681
308278,194824
394127,805872
240400,336100
330500,213600
258500,281600
547374,179035
359870,374560
226020,861473
200290,848440
255000,622000
216403,858519
422200,601500
639900,310000
412400,283500
375730,428575
520645,180295
520360,181230
409880,287250
299500,662300
623391,153976
391200,380300
505587,164866
360200,413135
454375,408725
340790,406775
338400,385700
331101,412224
336625,397890
275034,656191
276000,665200
418566,571308
547855,172860
381900,304500
384317,378563
460100,167345
486656,150424
527984,105666
340921,384909
530295,190460
442300,356100
441449,514558
288800,693115
266000,869400
423115,611040
606525,221515
380070,355130
624182,152457
590524,197929
300340,945680
472352,139697
483960,410625
377026,387931
402300,272000
239300,679900
261747,665542
434900,351600
496379,198188
502632,111812
262400,212700
498400,344375
435565,145938
257960,665300
534605,169900
535200,192200
506513,102979
319300,566200
334601,427689
254880,668683
368640,520680
597566,129760
352475,409360
452542,193698
506245,204874
363900,741000
231200,704600
260030,890446
231700,715500
222540,642090
223799,642211
223070,642050
385900,397200
259220,664970
166400,786700
519045,237820
294050,667140
350475,546340
346070,478870
503520,444275
502444,106417
492200,168300
430114,218841
506580,171947
259427,668485
387191,397229
392630,233390
518040,159000
601282,142204
489934,150834
377370,384370
393840,399400
550726,138801
489273,153342
529770,238615
321500,477688
474130,339920
493944,236751
314390,541260
408790,289600
192456,839125
368347,403716
430400,298000
451790,334585
605177,295033
551600,236300
289566,812339
380500,160100
351544,178168
329260,98225
572017,158687
481779,213470
478641,215341
234060,621390
340545,368340
385764,391618
491391,163627
416305,439360
530670,130115
524540,234264
528500,173200
267750,663275
239000,681900
348417,731698
420800,382500
211300,776700
257500,371600
524588,160432
232900,632900
345439,464613
315100,200000
544410,184340
388800,338400
572970,156891
522200,175700
319955,469932
457820,317200
310700,167200
312400,167800
311500,166700
506200,423530
570368,188330
553100,156800
375248,164353
424985,423790
528745,176960
575470,115569
531537,208274
316711,180978
538040,171375
537395,169850
537380,169865
485320,159875
329500,363400
629849,169444
494004,191144
458550,223112
458675,221950
513482,202017
470781,106529
358800,171400
328400,390800
417149,260721
170900,785000
252005,845807
333300,385000
642600,290500
504167,249744
436270,286952
428020,164586
618942,156029
525545,162065
537780,172295
434808,347510
549515,179215
519000,471730
577733,185893
244000,67400
245230,63545
499336,208139
413761,413853
552603,106774
339605,414535
505000,249015
453370,336220
279500,356500
503860,439600
574495,107536
549380,173435
274700,192300
278530,697720
400610,273670
418728,283685
405990,287950
407400,286800
406875,286659
406950,287275
533700,195400
542370,168770
519241,244351
387500,302900
567500,195000
508803,125123
470535,340160
365180,390785
535335,169000
243700,670500
323300,685600
443890,113380
333018,415759
415340,411180
335577,273680
430140,102008
424400,277600
269984,345894
272230,665585
388065,278725
269265,657975
287000,765300
418500,563500
535800,189345
330665,432919
331024,436693
331008,434110
470920,349865
531714,180914
260865,664850
434957,106287
368500,427900
539640,176005
289672,666743
410600,300800
388113,396196
331100,399500
446625,523620
398900,303075
399320,302270
362400,410700
273245,660055
486859,233741
445745,402695
568000,147800
395600,341200
356500,425810
389210,384872
465518,159440
446160,240427
578447,287245
410800,439165
494008,181378
261025,667160
334496,393867
413400,447750
521460,176230
350270,495765
434735,406535
505400,409900
479211,143053
517460,177865
366715,468970
335173,387821
211030,64058
238600,370200
493415,99389
230738,674875
371900,408700
409660,91970
512784,155640
230100,739400
309370,489305
334040,395642
333964,394890
489456,187260
260900,290100
560898,157424
481246,105435
532301,344118
481080,339260
452170,113260
405100,281000
489604,234787
530245,191470
244300,673700
516744,151865
486910,168969
416370,433430
416594,432780
576925,222100
576093,222736
641200,283400
405760,91930
399000,393800
524755,184450
524225,183940
382522,160678
330790,136975
460950,86877
517930,466857
377918,564486
408400,286000
392755,391823
295600,660600
346300,730900
487700,427910
270270,663955
290769,179848
500400,406900
531315,105780
531000,104920
249840,659320
495897,104367
414660,422440
260732,663992
384530,436438
536315,197035
274200,194800
315200,202000
531100,175500
524119,204007
332090,388990
332205,388427
329790,390256
331004,389456
495200,156954
519700,168070
427900,435165
334359,381001
334200,381900
372914,413133
423990,434400
261200,315900
355055,559972
396870,269355
225000,675500
391120,392823
550115,176210
594842,196511
255561,132541
646000,305300
340699,390337
536420,175790
540380,169630
540430,168702
339900,280900
290657,904141
493870,426555
537403,207228
222600,581600
354200,733700
344457,412406
344465,411545
262100,660380
639131,167997
359700,172400
362474,179570
502888,422510
464490,343330
559315,193035
533795,190110
632904,307967
631470,308340
331330,672710
368800,134800
399410,653445
434590,562900
357165,400547
300100,505978
420890,529170
420891,529170
400700,296140
254355,671795
261000,670100
549155,220894
463774,152529
316388,129039
546930,99908
579882,156119
585300,265200
521052,151317
297790,668324
534715,182340
411070,299420
577665,194895
456360,405590
458900,507300
635120,305650
201670,59335
302500,253300
454040,345010
590310,233920
531625,118805
416300,445805
383095,432760
383960,433050
383700,432100
448985,109585
424200,323200
258220,656430
511858,195322
511818,195340
405910,373750
548320,175995
549688,123341
505854,162285
254960,199115
313240,168880
330950,357240
243428,68775
546195,257245
286760,680730
534850,183240
430880,278010
532620,180890
152930,38745
319074,174883
318838,176539
277490,658850
336520,476235
340240,555500
264930,662230
289878,822465
302890,291880
442680,425490
534120,155420
537365,173600
537260,173560
318260,177320
444640,455925
224830,59110
515850,181765
285100,379100
553472,129725
512341,158897
164830,39696
363490,133520
258460,660580
347400,187600
321700,695000
253570,664630
234480,677330
331060,356230
260480,660580
410300,440260
536520,174740
558920,178770
258075,126080
610683,155227
375640,394440
575547,167608
435230,219440
485890,104320
387570,386580
492232,218549
547650,187610
524447,163336
405510,379480
381385,374850
353600,193700
536647,202307
359778,107585
438800,371400
450940,436980
418630,627040
539200,194610
392080,173730
328470,337830
520380,177220
499647,197573
585303,185582
570552,207068
546950,164020
393242,222099
503130,147257
403830,382600
458452,186039
356441,419855
358666,417520
374300,428310
435533,396309
589770,228860
415300,93200
258050,665830
514800,129200
502597,196090
530235,180455
527685,158275
543200,169400
411460,293100
518400,164145
517900,163300
341335,366985
613615,166817
274320,654250
365900,426400
503825,166390
300440,251250
253914,662940
617600,215300
504560,152714
534780,186540
201500,220940
420800,264370
601570,224837
600000,224865
599100,226417
530695,184363
282030,667700
280365,658470
357600,174130
483680,361500
374170,441990
607800,153700
536370,169550
529820,175710
527205,175500
527200,175500
527201,175500
527202,175500
527203,175500
373265,467800
257410,657460
427190,551170
530630,409060
379230,402915
375635,242450
249768,670121
515097,163755
211900,219300
302400,201300
487573,160441
276410,673880
263950,660620
529175,184185
621410,342040
241280,219710
398600,309830
535475,179475
532380,185040
356600,734500
614645,157285
614552,158395
638140,303680
263725,664555
272930,665125
273170,665600
274620,665280
570992,106566
386440,303300
317460,172560
540077,113474
419900,291000
388135,439850
529870,159060
530091,159756
441850,215060
466500,510030
450900,399450
387220,362320
191470,734050
254105,855032
399305,446825
278049,377466
488690,185060
223885,63619
276700,103120
489160,288690
209680,776720
235620,766410
314630,180888
394280,294140
379780,305275
465765,105125
427274,430242
433200,278200
547658,141714
337240,374100
393950,285750
343175,283060
527029,136332
398920,563515
297740,517420
318194,175889
284005,99485
577648,220224
371100,354800
551510,174395
231000,681300
530970,200110
249660,338010
524000,185910
345320,108515
283990,650200
541130,178385
425720,577110
349700,470700
595005,149132
238460,725100
252030,663540
430275,357400
258750,662310
348710,419290
530585,187505
478380,411000
272980,675500
315650,186560
511818,193404
527531,163627
527739,164861
322132,191943
257030,662440
339400,385040
295213,645437
461980,341255
229500,675500
576028,112879
452365,374410
482294,163735
534120,170550
526300,176675
443255,120655
436215,434430
388300,410600
345585,293588
531690,181150
573153,107296
468370,508485
505100,432880
360100,371600
530700,202800
452915,195276
257680,894770
337700,714300
317640,668280
316570,691850
329800,195800
571435,166750
280220,240677
365910,404880
314890,684090
248420,671420
229752,649195
533570,184780
533525,185005
336600,550600
323100,473800
263420,784900
470685,508410
314447,178674
412305,269650
439170,387687
640480,269720
554314,174378
369400,422500
498740,176970
389925,388240
296400,76700
297930,78660
255670,669125
637424,152584
425695,127075
277900,379100
