LSOA_CODE,Pupil absence rates,Absence 10
E01013725,16.1,9.982
E01024614,15.6,9.672
E01013723,15.5,9.61
E01013726,15.5,9.61
E01013727,15.4,9.548
E01024615,15.3,9.486
E01013722,15.2,9.424
E01013728,15.2,9.424
E01024595,15.1,9.362
E01013724,15,9.3
E01024616,15,9.3
E01005099,14.9,9.238
E01024597,14.9,9.238
E01005103,14.7,9.114
E01005101,14.6,9.052
E01005104,14.6,9.052
E01012343,14.5,8.99
E01024609,14.5,8.99
E01024613,14.5,8.99
E01014492,14.5,8.99
E01005135,14.3,8.866
E01013818,14.3,8.866
E01024610,14.3,8.866
E01005091,14.2,8.804
E01005098,14.2,8.804
E01024581,14.2,8.804
E01014493,14.2,8.804
E01005289,14.1,8.742
E01008100,14.1,8.742
E01013730,14.1,8.742
E01008013,14,8.68
E01008017,14,8.68
E01024596,14,8.68
E01024612,14,8.68
E01024619,14,8.68
E01005291,13.9,8.618
E01005313,13.9,8.618
E01008097,13.9,8.618
E01003236,13.9,8.618
E01014583,13.9,8.618
E01014647,13.9,8.618
E01005100,13.8,8.556
E01013682,13.8,8.556
E01024587,13.8,8.556
E01024611,13.8,8.556
E01024620,13.8,8.556
E01014499,13.8,8.556
E01005102,13.7,8.494
E01008012,13.7,8.494
E01011675,13.7,8.494
E01012854,13.7,8.494
E01024585,13.7,8.494
E01024594,13.7,8.494
E01024598,13.7,8.494
E01024621,13.7,8.494
E01014496,13.7,8.494
E01005088,13.6,8.432
E01005089,13.6,8.432
E01005130,13.6,8.432
E01005318,13.6,8.432
E01007902,13.6,8.432
E01008018,13.6,8.432
E01008095,13.6,8.432
E01008098,13.6,8.432
E01011473,13.6,8.432
E01012851,13.6,8.432
E01013721,13.6,8.432
E01013858,13.6,8.432
E01014596,13.6,8.432
E01008016,13.5,8.37
E01011475,13.5,8.37
E01012856,13.5,8.37
E01012857,13.5,8.37
E01014497,13.5,8.37
E01012319,13.4,8.308
E01005090,13.4,8.308
E01005314,13.4,8.308
E01008103,13.4,8.308
E01011372,13.4,8.308
E01013731,13.4,8.308
E01013822,13.4,8.308
E01024580,13.4,8.308
E01024586,13.4,8.308
E01014638,13.4,8.308
E01014640,13.4,8.308
E01014643,13.4,8.308
E01012075,13.3,8.246
E01012076,13.3,8.246
E01005203,13.3,8.246
